sensor_id,hour,lat,lon,lux_avg,lux_norm,light_risk
OC3CL200065,10,37.43431809,127.0113387,5181.416666666667,1.0,0.0
OC3CL200065,11,37.43431809,127.0113387,6252.416666666667,1.0,0.0
OC3CL200065,12,37.43431809,127.0113387,6409.8,1.0,0.0
OC3CL200065,13,37.43431809,127.0113387,6496.8,1.0,0.0
OC3CL200065,14,37.43431809,127.0113387,6359.272727272727,1.0,0.0
OC3CL200065,15,37.43431809,127.0113387,5967.3,1.0,0.0
OC3CL200065,16,37.43431809,127.0113387,5126.875,1.0,0.0
OC3CL200065,17,37.43431809,127.0113387,4587.125,1.0,0.0
OC3CL200065,18,37.43431809,127.0113387,3685.0,1.0,0.0
OC3CL200065,19,37.43431809,127.0113387,1401.0,1.0,0.0
OC3CL200065,20,37.43431809,127.0113387,31.692307692307693,1.0,0.0
OC3CL200065,21,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,22,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,23,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200066,0,37.62335241,127.02125992,1954.9285714285713,1.0,0.0
OC3CL200066,1,37.62335241,127.02125992,1824.5714285714287,1.0,0.0
OC3CL200066,2,37.62335241,127.02125992,2200.0,1.0,0.0
OC3CL200066,3,37.62335241,127.02125992,2006.3225806451612,1.0,0.0
OC3CL200066,4,37.62335241,127.02125992,1993.3870967741937,1.0,0.0
OC3CL200066,5,37.62335241,127.02125992,1992.8666666666666,1.0,0.0
OC3CL200066,6,37.62335241,127.02125992,18799.58620689655,1.0,0.0
OC3CL200066,7,37.62335241,127.02125992,47790.9,1.0,0.0
OC3CL200066,8,37.62335241,127.02125992,42840.83870967742,1.0,0.0
OC3CL200066,9,37.62335241,127.02125992,29204.09677419355,1.0,0.0
OC3CL200066,10,37.62335241,127.02125992,22425.466666666667,1.0,0.0
OC3CL200066,11,37.62335241,127.02125992,21152.625,1.0,0.0
OC3CL200066,12,37.62335241,127.02125992,21281.466666666667,1.0,0.0
OC3CL200066,13,37.62335241,127.02125992,20617.5,1.0,0.0
OC3CL200066,14,37.62335241,127.02125992,18136.85714285714,1.0,0.0
OC3CL200066,15,37.62335241,127.02125992,16933.423076923078,1.0,0.0
OC3CL200066,16,37.62335241,127.02125992,14343.642857142857,1.0,0.0
OC3CL200066,17,37.62335241,127.02125992,19861.166666666668,1.0,0.0
OC3CL200066,18,37.62335241,127.02125992,21516.758620689656,1.0,0.0
OC3CL200066,19,37.62335241,127.02125992,30392.875,1.0,0.0
OC3CL200066,20,37.62335241,127.02125992,17929.90625,1.0,0.0
OC3CL200066,21,37.62335241,127.02125992,3035.733333333333,1.0,0.0
OC3CL200066,22,37.62335241,127.02125992,3258.34375,1.0,0.0
OC3CL200066,23,37.62335241,127.02125992,1955.53125,1.0,0.0
OC3CL200067,0,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,1,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,2,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,3,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,4,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,5,37.548032568,126.860633351,0.0,0.0,1.0
OC3CL200067,6,37.548032568,126.860633351,4513.631578947368,1.0,0.0
OC3CL200067,7,37.548032568,126.860633351,17935.947368421053,1.0,0.0
OC3CL200067,8,37.548032568,126.860633351,12937.947368421053,1.0,0.0
OC3CL200067,9,37.548032568,126.860633351,9321.894736842105,1.0,0.0
OC3CL200067,10,37.548032568,126.860633351,9638.055555555555,1.0,0.0
OC3CL200067,11,37.548032568,126.860633351,21105.823529411766,1.0,0.0
OC3CL200067,12,37.548032568,126.860633351,10345.461538461539,1.0,0.0
OC3CL200067,13,37.548032568,126.860633351,9025.214285714286,1.0,0.0
OC3CL200067,14,37.548032568,126.860633351,8647.5,1.0,0.0
OC3CL200067,15,37.548032568,126.860633351,7603.384615384615,1.0,0.0
OC3CL200067,16,37.548032568,126.860633351,6913.066666666667,1.0,0.0
OC3CL200067,17,37.548032568,126.860633351,5409.4,1.0,0.0
